partner_name,category,region,post_count,total_reposts,total_comments,total_attitudes,total_comment_likes,avg_reposts,avg_comments,avg_attitudes,engagement_rate,top_posts,date_range_start,date_range_end
吴京,Artist,CN,33,47948,19588,169323,0,1452.97,593.58,5131.0,7177.55,"[""4859593342325257|和平精英的微博视频(104,176 likes)"", ""4451152177121058|吴京新片《我们都是和平精英》(15,832 likes)"", ""4765743847833766|和平精英的微博视频(11,268 likes)""]",2019-05-29T04:16:47+00:00,2025-04-11T03:00:34+00:00
Aston Martin,Brand,CN,5,224182,4394,162568,0,44836.4,878.8,32513.6,78228.8,"[""4603007642371225|和平精英的微博视频(96,535 likes)"", ""4602396108393497|#和平精英超A吉合# 跨界合作燃动上线啦！无畏跌倒碰撞，只为奔向闪亮终点无畏风沙雪雨，只为探索未知冒(62,917 likes)"", ""4602720810702303|和平精英的微博视频(2,332 likes)""]",2021-02-08T10:30:03+00:00,2021-02-23T09:39:37+00:00
李一桐,Artist,CN,5,76190,7162,155715,0,15238.0,1432.4,31143.0,47813.4,"[""5249507576519296|和平精英的微博视频(36,587 likes)"", ""5249205594751217|和平精英的微博视频(36,251 likes)"", ""5249190486869091|#和平精英暮色玫影#(31,965 likes)""]",2025-12-29T06:00:00+00:00,2025-12-30T07:00:01+00:00
长相思,Movie,CN,3,14028,11189,154394,0,4676.0,3729.67,51464.67,59870.33,"[""4931693418909426|和平精英的微博视频(106,252 likes)"", ""4935677151550635|和平精英的微博视频(47,783 likes)"", ""4937621862358105|和平精英的微博视频(359 likes)""]",2023-08-06T03:00:00+00:00,2023-08-22T11:37:31+00:00
未知艺人团体,Artist,CN,1,24155,2093,144089,0,24155.0,2093.0,144089.0,170337.0,"[""4410595249660303|和平精英的微博视频(144,089 likes)""]",2019-08-29T04:01:55+00:00,2019-08-29T04:01:55+00:00
陈都灵,Artist,CN,2,172616,233091,138656,0,86308.0,116545.5,69328.0,272181.5,"[""5127043211330464|和平精英的微博视频(123,610 likes)"", ""5127050682171803|和平精英的微博视频(15,046 likes)""]",2025-01-26T04:30:20+00:00,2025-01-26T05:00:01+00:00
"宋茜, 杨丽萍",Artist,CN,1,22122,2518,121801,0,22122.0,2518.0,121801.0,146441.0,"[""5161084940454634|和平精英的微博视频(121,801 likes)""]",2025-04-30T03:00:01+00:00,2025-04-30T03:00:01+00:00
Godzilla,Movie,CN,29,58864,22766,111097,0,2029.79,785.03,3830.93,6645.76,"[""4632739561867673|《和平精英》2周年起飞宣传片(41,069 likes)"", ""4714351305426427|和平精英的微博视频(21,017 likes)"", ""4635652790160820|和平精英的微博视频(18,900 likes)""]",2021-05-03T03:30:15+00:00,2021-12-14T09:00:01+00:00
"华晨宇, 宋茜, 虞书欣",Artist,CN,3,7935,3743,106791,0,2645.0,1247.67,35597.0,39489.67,"[""5090075788706283|宇宙旋律，无尽回响，和平精英Peace⁴ 正式亮相！品牌代言人@华晨宇yu、@宋茜、@虞书欣Esth(51,904 likes)"", ""5090419322915103|和平精英的微博视频(51,264 likes)"", ""5092239467874991|和平精英的微博视频(3,623 likes)""]",2024-10-16T04:15:00+00:00,2024-10-22T03:32:41+00:00
"Alan Walker, 华晨宇, 王嘉尔, 虞书欣",Artist,CN,1,57896,3048,104683,0,57896.0,3048.0,104683.0,165627.0,"[""5046585475991333|和平精英的微博视频(104,683 likes)""]",2024-06-18T04:00:01+00:00,2024-06-18T04:00:01+00:00
